timestamp,tvlUSD,tvlETH,BTC,ETH,DAI
1549238400,"250115935,9","2333567,018","660,9682668","2092206,011","504219,4568"
1549152000,"258883289,9","2332893,153","655,3687386","2088941,852","403694,6753"
1549065600,"247261172,1","2310828,964","656,7815979","2076940,506","428859,8226"
1548979200,"246746235,5","2309082,122","658,7941956","2070778,935","413325,9758"
1548892800,"250386739,2","2297069,69","654,1890831","2065870,452","435088,2011"
1548806400,239941371,"2290609,747","651,7837852","2058052,347","420067,1939"
1548720000,241214416,"2267905,378","646,1073694","2044646,315","402134,4561"
1548633600,254539016,"2267204,204","637,0646309","2032385,53","383243,7746"
1548547200,263670854,"2266576,584","635,3673309","2030961,091","346407,5063"
1548460800,262192105,"2261836,655","631,2021174","2033879,656","332237,869"
1548374400,266206449,"2261737,035","629,0135325","2029773,276","322314,7815"
1548288000,262297471,"2230989,802","624,4539229","2003484,581","318700,0336"
1548201600,265057560,"2225130,625","619,6469142","1997037,949","302518,771"
1548115200,262077024,"2245348,047","605,3686678","2004169,822","341895,8608"
1548028800,265590806,"2242976,151","579,3966691","1999519,756","332139,6757"
1547942400,273638858,"2191740,953","578,114608","1965307,693","330058,5303"
1547856000,263799831,"2187939,214","575,1652979","1959177,484","324632,3959"
1547769600,269618701,"2179265,285","570,7128911","1954836,619","328147,1678"
1547683200,267884293,"2175798,351","570,4724622","1961759,099","361801,1759"
1547596800,258563268,"2133008,315","564,8837142","1949622,195","366116,4832"
1547510400,275852005,"2126190,882","562,8425492","1945392,031","386671,9611"
1547424000,243272514,"2087101,184","551,5768787","1908099,281","391335,1545"
1547337600,260909178,"2073505,348","547,2805293","1893925,627","406031,7121"
1547251200,262775222,"2066492,781","544,3503348","1890297,562","408350,6246"
1547164800,264365901,"2066004,228","496,0877758","1891330,161","418161,5454"
1547078400,310190252,"2051929,96","497,1376668","1884177,816","427542,6156"
1546992000,309525002,"2048477,842","500,1370275","1878332,908","415417,5519"
1546905600,311753782,"2049798,027","503,0658777","1888645,964","415751,7111"
1546819200,325798274,"2054084,068","482,2698565","1896308,519","384569,6446"
1546732800,321885071,"2060328,176","574,2924562","1901670,778","388208,777"
1546646400,324574496,"2080072,392","573,1645187","1925249,207","383931,5665"
1546560000,312651707,"2092155,427","571,4339553","1936656,078","363180,8961"
1546473600,326649055,"2086281,248","569,4212541","1937193,501","317166,9002"
1546387200,297580348,"2085941,035","566,8448106","1937529,856","348951,3965"
1546300800,278749942,"2088170,964","563,2999237","1937562,811","309211,5946"
1546214400,294588605,"2084402,498","560,3758225","1935686,746","317974,5518"
1546128000,286899052,"2089577,946","558,8867877","1933142,551","296660,7945"
1546041600,287981552,"2060985,844","555,7440563","1910098,496","284966,3725"
1545955200,241417969,"2068351,345","548,8074694","1902549,309","271560,5863"
1545868800,272400448,"2054147,108","544,0860006","1896042,988","274156,1831"
1545782400,266823922,"2036979,327","539,3602331","1882305,024","343348,5188"
1545696000,285287745,"2025184,532","532,6424079","1869213,427","326051,7462"
1545609600,265138192,"2015340,468","525,8029658","1857669,066","325684,2478"
1545523200,235859851,"1992732,773","504,3208354","1830737,744","289279,8125"
1545436800,212999608,"1946268,348","504,3208354","1778322,558","318012,3982"
