timestamp,spy_price,btc_price,gld_price,bnd_price
2019-05-14,281.989990,5853.581868287818,122.459999,81.190002
2019-05-15,281.589996,6046.677867406099,122.389999,81.309998
2019-05-16,285.839996,6294.488468818638,121.510002,81.190002
2019-05-17,285.140015,7706.654756885828,120.650002,81.209999
2019-05-20,284.059998,7976.242420436576,120.639999,81.110001
2019-05-21,285.829987,8073.479994162225,120.360001,81.070000
2019-05-22,285.450012,8004.249224910998,120.239998,81.220001
2019-05-23,283.160004,7223.7091177839075,121.169998,81.510002
2019-05-24,283.739990,7911.350686674081,121.300003,81.510002
2019-05-28,283.089996,7959.184296378749,120.830002,81.680000
2019-05-29,278.910004,7825.614124040359,120.870003,81.660004
2019-05-30,279.109985,7721.87587844082,121.690002,81.879997
2019-05-31,276.200012,8006.887465179304,123.330002,82.239998
2019-06-03,275.309998,8796.111154486447,125.110001,82.279999
2019-06-04,277.119995,8716.16813110689,125.150002,82.139999
2019-06-05,282.329987,8636.632787625911,125.470001,82.139999
2019-06-06,283.290009,8557.046586244363,125.879997,82.120003
2019-06-07,285.929993,8353.051571016205,126.589996,82.339996
2019-06-10,289.369995,8409.389339100075,125.330002,82.169998
2019-06-11,290.989990,7792.1988403555615,125.180000,82.110001
2019-06-12,288.640015,7764.620190431714,125.830002,82.250000
2019-06-13,289.399994,7698.259635507299,126.599998,82.389999
2019-06-14,289.260010,7966.654900241304,126.559998,82.400002
2019-06-17,289.519989,7869.732999276693,126.480003,82.400002
2019-06-18,291.390015,7886.5903586119,127.120003,82.589996
2019-06-19,292.549988,8078.783644350391,127.889999,82.870003
2019-06-20,296.040009,8194.069710801054,131.110001,83.000000
2019-06-21,294.130005,8438.396756041544,131.979996,82.769997
2019-06-24,294.230011,9263.745775088031,133.940002,82.919998
2019-06-25,293.700012,9125.557518021798,134.199997,82.949997
2019-06-26,291.750000,9159.347100873441,132.970001,82.760002
2019-06-27,291.309998,9416.576116330456,132.839996,83.000000
2019-06-28,292.579987,9836.835440026913,133.199997,83.070000
2019-07-01,296.679993,10840.863699851814,130.619995,82.870003
2019-07-02,295.609985,11356.76218624743,133.410004,83.029999
2019-07-03,297.179993,12659.50793363661,133.630005,83.180000
2019-07-05,297.440002,11547.29140529661,132.139999,82.790001
2019-07-08,297.010010,11667.015296697793,131.289993,82.779999
2019-07-09,295.540009,10541.468923890254,131.750000,82.669998
2019-07-10,298.369995,10240.118102231696,133.830002,82.739998
2019-07-11,299.320007,11376.10242557574,132.699997,82.470001
2019-07-12,299.850006,11686.925943473103,133.529999,82.540001
2019-07-15,301.130005,11098.54540323064,133.529999,82.660004
2019-07-16,300.649994,11969.010691411391,132.399994,82.550003
2019-07-17,299.750000,12501.552061735165,134.580002,82.800003
2019-07-18,297.190002,12507.839577486242,136.479996,82.949997
2019-07-19,300.040009,11514.661921912008,134.470001,82.860001
2019-07-22,297.609985,11565.179648217596,134.449997,82.949997
2019-07-23,299.140015,10382.700248338062,133.690002,82.879997
2019-07-24,299.190002,10024.240860884209,134.369995,82.959999
2019-07-25,300.940002,9554.00344415768,133.419998,82.870003
2019-07-26,300.760010,10141.267174675375,133.639999,82.870003
2019-07-29,301.880005,10454.63074280004,134.529999,82.919998
2019-07-30,299.910004,10350.147609259191,134.979996,82.900002
2019-07-31,300.989990,10027.493941607172,133.210007,83.000000
2019-08-01,297.600006,9694.124009764308,136.410004,83.400002
2019-08-02,293.850006,10014.254147743202,135.889999,83.480003
2019-08-05,288.089996,9776.688748519242,137.789993,83.839996
2019-08-06,285.910004,9525.864828155303,138.910004,84.050003
2019-08-07,284.399994,9571.820087436034,141.020004,84.050003
2019-08-08,289.619995,9912.89547382229,141.729996,84.120003
2019-08-09,292.579987,10160.320417619088,141.259995,83.970001
2019-08-12,289.959991,10477.065862012412,142.630005,84.339996
2019-08-13,287.739990,11645.732062426716,141.779999,84.209999
2019-08-14,288.070007,11737.134363908717,142.750000,84.510002
2019-08-15,284.880005,11781.30536852508,143.699997,84.919998
2019-08-16,286.480011,11763.69063397873,142.779999,84.830002
2019-08-19,292.190002,11827.924560451178,141.110001,84.559998
2019-08-20,291.769989,11386.621454453998,142.210007,84.779999
2019-08-21,292.480011,11013.1885018511,141.759995,84.739998
2019-08-22,293.230011,10350.397635882355,141.399994,84.580002
2019-08-23,290.920013,9989.820122489435,144.169998,84.889999
2019-08-26,287.269989,10183.200252860493,144.190002,84.839996
2019-08-27,289.540009,10658.848682773883,145.570007,85.129997
2019-08-28,286.140015,10750.75435847413,145.160004,85.160004
2019-08-29,291.720001,10170.24229396525,144.119995,85.110001
2019-08-30,294.220001,10008.324596552284,143.750000,85.099998
2019-09-03,290.570007,10327.87596405497,145.750000,84.989998
2019-09-04,293.140015,10397.243236859736,146.660004,85.150002
2019-09-05,296.790009,10167.04919973326,143.139999,84.709999
2019-09-06,298.170013,9878.019893648214,141.919998,84.809998
2019-09-09,299.140015,9502.539077517255,141.389999,84.419998
2019-09-10,297.359985,9537.125818886929,140.179993,83.989998
2019-09-11,298.470001,10122.840403485152,141.029999,83.940002
