timestamp,spy_price,btc_price
2019-07-19,300.040009,11514.661921912008
2019-07-22,297.609985,11565.179648217596
2019-07-23,299.140015,10382.700248338062
2019-07-24,299.190002,10024.240860884209
2019-07-25,300.940002,9554.00344415768
2019-07-26,300.760010,10141.267174675375
2019-07-29,301.880005,10454.63074280004
2019-07-30,299.910004,10350.147609259191
2019-07-31,300.989990,10027.493941607172
2019-08-01,297.600006,9694.124009764308
2019-08-02,293.850006,10014.254147743202
2019-08-05,288.089996,9776.688748519242
2019-08-06,285.910004,9525.864828155303
2019-08-07,284.399994,9571.820087436034
2019-08-08,289.619995,9912.89547382229
2019-08-09,292.579987,10160.320417619088
2019-08-12,289.959991,10477.065862012412
2019-08-13,287.739990,11645.732062426716
2019-08-14,288.070007,11737.134363908717
2019-08-15,284.880005,11781.30536852508
