Date,Open,High,Low,Close,Adj Close,Volume,timestamp,open,high,low,close,volume,price,count,instrument,exchange,class,pair
2019-05-30,279.109985,280.040009,277.809998,279.029999,269.126923,62523800,2020-11-14,16339.56,16339.6,15708.24,16082.01,9036.641482020039,16007.366144270783,97968.0,cbse/btc-usd,cbse,spot,btc-usd
2019-05-31,276.200012,277.119995,275.239990,275.269989,265.500397,86862800,2020-11-13,16310.81,16491.92,15975.0,16339.56,14510.813671660917,16280.702410867663,124013.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-03,275.309998,276.549988,273.089996,274.570007,264.825195,96428000,2020-11-12,15705.79,16370.89,15446.82,16310.81,21404.30385640128,15963.798424192319,145328.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-04,277.119995,280.679993,276.619995,280.529999,270.573669,77231900,2020-11-11,15315.46,16000.0,15293.04,15705.79,15123.844197731076,15664.643871797527,114205.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-05,282.329987,282.989990,280.320007,282.959991,272.917450,71169700,2020-11-10,15342.1,15481.06,15090.08,15315.04,13451.204415121132,15312.84808658326,108642.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-06,283.290009,285.549988,282.570007,284.799988,274.692108,69430400,2020-11-09,15482.89,15856.9,14817.14,15342.25,21820.979039260536,15347.333984402547,131581.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-07,285.929993,288.850006,285.739990,287.649994,277.440979,74272200,2020-11-08,14834.09,15666.0,14721.9,15482.9,11786.951998790972,15238.908576543528,100147.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-10,289.369995,290.820007,288.869995,288.970001,278.714111,60799100,2020-11-07,15599.95,15779.24,14310.0,14834.09,22389.100346800675,15116.019937101211,155784.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-11,290.989990,291.399994,288.179993,288.899994,278.646637,58641300,2020-11-06,15608.06,15977.67,15190.36,15599.95,24711.5844507393,15590.89127904287,166547.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-12,288.640015,289.260010,287.820007,288.390015,278.154755,47096300,2020-11-05,14165.86,15775.0,14115.0,15608.21,30788.260670089032,14942.194544943675,189624.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-13,289.399994,289.980011,288.619995,289.579987,279.302460,48945200,2020-11-04,14034.35,14273.6,13530.01,14161.48,16574.31842689045,13942.179995798644,113403.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-14,289.260010,289.929993,288.410004,289.260010,278.993866,52324700,2020-11-03,13563.22,14081.45,13290.0,14035.8,13493.802203471038,13658.64469560638,98551.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-17,289.519989,290.220001,289.179993,289.369995,279.100006,39205700,2020-11-02,13771.7,13840.0,13215.0,13563.22,12018.373835950913,13554.585561473938,90670.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-18,291.390015,293.570007,290.989990,292.399994,282.022430,85434800,2020-11-01,13803.69,13906.74,13630.05,13771.59,6248.8694531402125,13771.548349517647,77389.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-19,292.549988,293.649994,291.470001,293.059998,282.658997,78674400,2020-10-31,13571.51,14098.92,13424.73,13804.81,11167.540000350542,13776.174163546382,91389.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-20,296.040009,296.309998,293.130005,295.859985,285.359589,116570000,2020-10-30,13460.0,13687.82,13131.31,13571.51,15453.608647900786,13428.138666464993,111397.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-21,294.130005,295.519989,293.760010,294.000000,284.944824,83309500,2020-10-29,13281.06,13650.0,12976.29,13460.0,15689.07056109105,13351.233671692773,109921.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-24,294.230011,294.579987,293.470001,293.640015,284.595917,47582700,2020-10-28,13762.79,13863.87,12891.57,13281.05,20613.782243401245,13350.899467730715,124506.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-25,293.700012,293.730011,290.640015,290.760010,281.804565,82028700,2020-10-27,13068.79,13788.0,13061.28,13780.0,16909.49086408098,13474.716212793961,108642.0,cbse/btc-usd,cbse,spot,btc-usd
2019-06-26,291.750000,292.309998,290.350006,290.470001,281.523499,51584900,2020-10-26,13045.02,13250.0,12785.0,13068.79,12035.349565100603,13042.720332323632,92264.0,cbse/btc-usd,cbse,spot,btc-usd
